bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,year,island_Biscoe,island_Dream,island_Torgersen,sex_female,sex_male
42.7,18.3,196.0,4075.0,2009,True,False,False,False,True
49.6,16.0,225.0,5700.0,2008,True,False,False,False,True
36.5,18.0,182.0,3150.0,2007,False,True,False,True,False
49.8,15.9,229.0,5950.0,2009,True,False,False,False,True
49.8,17.3,198.0,3675.0,2009,False,True,False,True,False
39.5,17.8,188.0,3300.0,2007,False,True,False,True,False
40.9,13.7,214.0,4650.0,2007,True,False,False,True,False
40.6,18.6,183.0,3550.0,2007,True,False,False,False,True
41.0,20.0,203.0,4725.0,2009,True,False,False,False,True
41.1,18.1,205.0,4300.0,2008,False,True,False,False,True
35.2,15.9,186.0,3050.0,2009,False,False,True,True,False
45.1,14.5,207.0,5050.0,2007,True,False,False,True,False
48.8,16.2,222.0,6000.0,2009,True,False,False,False,True
43.1,19.2,197.0,3500.0,2009,False,False,True,False,True
45.3,13.7,210.0,4300.0,2008,True,False,False,True,False
39.3,20.6,190.0,3650.0,2007,False,False,True,False,True
43.2,16.6,187.0,2900.0,2007,False,True,False,True,False
42.7,13.7,208.0,3950.0,2008,True,False,False,True,False
54.3,15.7,231.0,5650.0,2008,True,False,False,False,True
50.2,18.7,198.0,3775.0,2009,False,True,False,True,False
51.3,18.2,197.0,3750.0,2007,False,True,False,False,True
38.9,18.8,190.0,3600.0,2008,False,True,False,True,False
35.5,17.5,190.0,3700.0,2008,False,False,True,True,False
45.6,20.3,191.0,4600.0,2009,True,False,False,False,True
40.6,19.0,199.0,4000.0,2009,False,False,True,False,True
48.2,14.3,210.0,4600.0,2007,True,False,False,True,False
46.6,17.8,193.0,3800.0,2007,False,True,False,True,False
43.5,14.2,220.0,4700.0,2008,True,False,False,True,False
42.8,18.5,195.0,4250.0,2008,False,False,True,False,True
42.8,14.2,209.0,4700.0,2007,True,False,False,True,False
47.5,15.0,218.0,4950.0,2009,True,False,False,True,False
37.5,18.9,179.0,2975.0,2007,False,True,False,False,False
39.1,18.7,181.0,3750.0,2007,False,False,True,False,True
50.8,15.7,226.0,5200.0,2009,True,False,False,False,True
38.8,20.0,190.0,3950.0,2007,False,True,False,False,True
50.9,19.1,196.0,3550.0,2008,False,True,False,False,True
50.1,15.0,225.0,5000.0,2008,True,False,False,False,True
48.1,16.4,199.0,3325.0,2009,False,True,False,True,False
36.7,19.3,193.0,3450.0,2007,False,False,True,True,False
48.7,15.1,222.0,5350.0,2007,True,False,False,False,True
39.0,17.5,186.0,3550.0,2008,True,False,False,True,False
37.0,16.5,185.0,3400.0,2009,False,True,False,True,False
46.0,18.9,195.0,4150.0,2007,False,True,False,True,False
36.0,18.5,186.0,3100.0,2007,False,True,False,True,False
52.2,18.8,197.0,3450.0,2009,False,True,False,False,True
39.6,20.7,191.0,3900.0,2009,True,False,False,True,False
45.2,15.8,215.0,5300.0,2008,True,False,False,False,True
49.4,15.8,216.0,4925.0,2009,True,False,False,False,True
42.4,17.3,181.0,3600.0,2007,False,True,False,True,False
50.5,18.4,200.0,3400.0,2008,False,True,False,True,False
43.8,13.9,208.0,4300.0,2008,True,False,False,True,False
46.5,14.8,217.0,5200.0,2008,True,False,False,True,False
44.9,13.8,212.0,4750.0,2009,True,False,False,True,False
50.8,19.0,210.0,4100.0,2009,False,True,False,False,True
43.4,14.4,218.0,4600.0,2009,True,False,False,True,False
47.7,15.0,216.0,4750.0,2008,True,False,False,True,False
46.8,16.1,215.0,5500.0,2009,True,False,False,False,True
46.7,15.3,219.0,5200.0,2007,True,False,False,False,True
52.1,17.0,230.0,5550.0,2009,True,False,False,False,True
42.1,19.1,195.0,4000.0,2008,False,False,True,False,True
34.4,18.4,184.0,3325.0,2007,False,False,True,True,False
39.7,18.4,190.0,3900.0,2008,False,False,True,False,True
39.6,18.8,190.0,4600.0,2007,False,True,False,False,True
48.5,17.5,191.0,3400.0,2007,False,True,False,False,True
35.0,17.9,190.0,3450.0,2008,True,False,False,True,False
39.0,17.1,191.0,3050.0,2009,False,False,True,True,False
36.3,19.5,190.0,3800.0,2008,False,True,False,False,True
37.2,18.1,178.0,3900.0,2007,False,True,False,False,True
37.8,20.0,190.0,4250.0,2009,True,False,False,False,True
39.7,17.9,193.0,4250.0,2009,False,True,False,False,True
49.3,15.7,217.0,5850.0,2007,True,False,False,False,True
41.4,18.5,202.0,3875.0,2009,False,False,True,False,True
48.1,15.1,209.0,5500.0,2009,True,False,False,False,True
46.2,14.5,209.0,4800.0,2007,True,False,False,True,False
41.1,18.6,189.0,3325.0,2009,False,False,True,False,True
46.2,14.9,221.0,5300.0,2008,True,False,False,False,True
40.3,18.5,196.0,4350.0,2008,False,True,False,False,True
46.9,14.6,222.0,4875.0,2009,True,False,False,True,False
47.0,17.3,185.0,3700.0,2007,False,True,False,True,False
51.9,19.5,206.0,3950.0,2009,False,True,False,False,True
42.9,13.1,215.0,5000.0,2007,True,False,False,True,False
41.1,19.1,188.0,4100.0,2008,True,False,False,False,True
38.3,19.2,189.0,3950.0,2008,False,True,False,False,True
34.5,18.1,187.0,2900.0,2008,True,False,False,True,False
45.9,17.1,190.0,3575.0,2007,False,True,False,True,False
45.2,17.8,198.0,3950.0,2007,False,True,False,True,False
51.0,18.8,203.0,4100.0,2008,False,True,False,False,True
34.6,21.1,198.0,4400.0,2007,False,False,True,False,True
50.6,19.4,193.0,3800.0,2007,False,True,False,False,True
45.0,15.4,220.0,5050.0,2008,True,False,False,False,True
46.6,14.2,210.0,4850.0,2008,True,False,False,True,False
44.0,13.6,208.0,4350.0,2008,True,False,False,True,False
39.2,18.6,190.0,4250.0,2009,False,True,False,False,True
38.1,17.0,181.0,3175.0,2009,True,False,False,True,False
55.1,16.0,230.0,5850.0,2009,True,False,False,False,True
38.5,17.9,190.0,3325.0,2009,False,False,True,True,False
50.7,19.7,203.0,4050.0,2009,False,True,False,False,True
46.5,13.5,210.0,4550.0,2007,True,False,False,True,False
45.7,13.9,214.0,4400.0,2008,True,False,False,True,False
59.6,17.0,230.0,6050.0,2007,True,False,False,False,True
42.5,17.3,187.0,3350.0,2009,False,True,False,True,False
45.5,14.5,212.0,4750.0,2009,True,False,False,True,False
46.2,14.1,217.0,4375.0,2009,True,False,False,True,False
43.3,13.4,209.0,4400.0,2007,True,False,False,True,False
46.1,15.1,215.0,5100.0,2007,True,False,False,False,True
45.2,16.6,191.0,3250.0,2009,False,True,False,True,False
40.7,17.0,190.0,3725.0,2009,False,True,False,False,True
38.9,17.8,181.0,3625.0,2007,False,False,True,True,False
